7E560852	Tolerating Concurrency Bugs Using Transactions as Lifeguards	tolerating concurrency bugs using transactions as lifeguards	2010	2010/12/04	10.1109/MICRO.2010.56	international symposium on microarchitecture	micro		4499A295	19216
78058091	CAMEO: A Two-Level Memory Organization with Capacity of Main Memory and Flexibility of Hardware-Managed Cache	cameo a two level memory organization with capacity of main memory and flexibility of hardware managed cache	2014	2014/12/13	10.1109/MICRO.2014.63	international symposium on microarchitecture	micro		4499A295	17614
80428DCC	DIVA: a reliable substrate for deep submicron microarchitecture design	diva a reliable substrate for deep submicron microarchitecture design	1999	1999/11/16	10.1109/MICRO.1999.809458	international symposium on microarchitecture	micro		4499A295	16049
801D6D10	Sampling Dead Block Prediction for Last-Level Caches	sampling dead block prediction for last level caches	2010	2010/12/04	10.1109/MICRO.2010.24	international symposium on microarchitecture	micro		4499A295	18680
7E8A796E	Inferred Models for Dynamic and Sparse Hardware-Software Spaces	inferred models for dynamic and sparse hardware software spaces	2012	2012/12/01		international symposium on microarchitecture	micro		4499A295	19038
85BD4D68	Temporal instruction fetch streaming	temporal instruction fetch streaming	2008	2008/11		international symposium on microarchitecture	micro		4499A295	19555
7801F92E	B-Fetch: Branch Prediction Directed Prefetching for Chip-Multiprocessors	b fetch branch prediction directed prefetching for chip multiprocessors	2014	2014/12/13	10.1109/MICRO.2014.29	international symposium on microarchitecture	micro		4499A295	19524
787DA0D0	Optimizations and oracle parallelism with dynamic translation	optimizations and oracle parallelism with dynamic translation	1999	1999/11/16	10.1109/MICRO.1999.809466	international symposium on microarchitecture	micro		4499A295	18778
852A176A	The application slowdown model: quantifying and controlling the impact of inter-application interference at shared caches and main memory	the application slowdown model quantifying and controlling the impact of inter application interference at shared caches and main memory	2015	2015/12/05	10.1145/2830772.2830803	international symposium on microarchitecture	micro		4499A295	17634
794ADFAE	Neural Acceleration for General-Purpose Approximate Programs	neural acceleration for general purpose approximate programs	2012	2012/12		international symposium on microarchitecture	micro		4499A295	19555
7C6C5D3E	Transactional Memory Architecture and Implementation for IBM System Z	transactional memory architecture and implementation for ibm system z	2012	2012/12/01	10.1109/MICRO.2012.12	international symposium on microarchitecture	micro		4499A295	16686
76081A9E	MorphCore: An Energy-Efficient Microarchitecture for High Performance ILP and High Throughput TLP	morphcore an energy efficient microarchitecture for high performance ilp and high throughput tlp	2012	2012/12/01	10.1109/MICRO.2012.36	international symposium on microarchitecture	micro		4499A295	17342
7D7BE67B	Moneta: A High-Performance Storage Array Architecture for Next-Generation, Non-volatile Memories	moneta a high performance storage array architecture for next generation non volatile memories	2010	2010/12/04	10.1109/MICRO.2010.33	international symposium on microarchitecture	micro		4499A295	17878
7A40D54F	Hi-Rise: A High-Radix Switch for 3D Integration with Single-cycle Arbitration	hi rise a high radix switch for 3d integration with single cycle arbitration	2014	2014/12/13	10.1109/MICRO.2014.45	international symposium on microarchitecture	micro		4499A295	19525
78DDE0F5	Adaptive Cache Management for Energy-Efficient GPU Computing	adaptive cache management for energy efficient gpu computing	2014	2014/12/13	10.1109/MICRO.2014.11	international symposium on microarchitecture	micro		4499A295	19416
8155840C	Unison Cache: A Scalable and Effective Die-Stacked DRAM Cache	unison cache a scalable and effective die stacked dram cache	2014	2014/12/13	10.1109/MICRO.2014.51	international symposium on microarchitecture	micro		4499A295	19500
7A679471	Calculating Architectural Vulnerability Factors for Spatial Multi-bit Transient Faults	calculating architectural vulnerability factors for spatial multi bit transient faults	2014	2014/12/13	10.1109/MICRO.2014.15	international symposium on microarchitecture	micro		4499A295	17560
85A92771	Instruction Scheduling and Executable Editing	instruction scheduling and executable editing	1996	1996		international symposium on microarchitecture	micro		4499A295	19555
7D8C0967	Kernel Weaver: Automatically Fusing Database Primitives for Efficient GPU Computation	kernel weaver automatically fusing database primitives for efficient gpu computation	2012	2012/12/01	10.1109/MICRO.2012.19	international symposium on microarchitecture	micro		4499A295	19024
